25-03-18 04:02:40.654 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests], using SpringBootContextLoader 
25-03-18 04:02:40.679 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}. 
25-03-18 04:02:40.681 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [net.engineeringdigest.journalApp.JournalAppApplicationTests]: JournalAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration. 
25-03-18 04:02:41.067 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration net.engineeringdigest.journalApp.JournalApplication for test class net.engineeringdigest.journalApp.JournalAppApplicationTests 
25-03-18 04:02:41.318 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener] 
25-03-18 04:02:41.373 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@2c7b5824, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@302a07d, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5cdd09b1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@8c11eee, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7e8dcdaa, org.springframework.test.context.support.DirtiesContextTestExecutionListener@681a8b4e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5cbe877d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5c08c46a, org.springframework.test.context.event.EventPublishingTestExecutionListener@4cf8b2dc, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@708400f6, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5829e4f4, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@4218500f, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4bff64c2, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@1b2c4efb, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@c35172e] 
25-03-18 04:02:42.143 [main] INFO  n.e.j.JournalAppApplicationTests - Starting JournalAppApplicationTests using Java 21.0.5 on DESKTOP-SAP6G6J with PID 12360 (started by a in C:\Users\a\Documents\SpringBoot\Projects\journalApp) 
25-03-18 04:02:42.145 [main] INFO  n.e.j.JournalAppApplicationTests - The following 1 profile is active: "dev" 
25-03-18 04:02:43.696 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode. 
25-03-18 04:02:43.821 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 112 ms. Found 2 MongoDB repository interfaces. 
25-03-18 04:02:45.228 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.5+9-LTS-239"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@41ccb3b9]}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null} 
25-03-18 04:02:45.395 [cluster-rtt-ClusterId{value='67d8a30db6e7e72a52eed679', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:28}] to localhost:27017 
25-03-18 04:02:45.396 [cluster-ClusterId{value='67d8a30db6e7e72a52eed679', description='null'}-localhost:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:29}] to localhost:27017 
25-03-18 04:02:45.398 [cluster-ClusterId{value='67d8a30db6e7e72a52eed679', description='null'}-localhost:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=160095600} 
25-03-18 04:02:46.172 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:30}] to localhost:27017 
25-03-18 04:02:47.261 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2a136383, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@b01cb8d, org.springframework.security.web.context.SecurityContextPersistenceFilter@18c880ea, org.springframework.security.web.header.HeaderWriterFilter@2b7facc7, org.springframework.security.web.authentication.logout.LogoutFilter@267891bf, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6bb4cc0e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@14457a95, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@61a87366, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@38c460e8, org.springframework.security.web.session.SessionManagementFilter@7a358613, org.springframework.security.web.access.ExceptionTranslationFilter@5e2a6991, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3f0ce0d1] 
25-03-18 04:02:49.083 [main] INFO  n.e.j.JournalAppApplicationTests - Started JournalAppApplicationTests in 7.61 seconds (JVM running for 10.023) 
